UV 1_280_ml,UV 1_280_mAU,UV 2_485_ml,UV 2_485_mAU
-4.789053,0.094744,-4.726267,0.101963
-4.788877,0.101198,-4.725827,0.077212
-4.788701,0.084531,-4.725388,0.094242
-4.788526,0.063335,-4.724948,0.112163
-4.78835,0.042103,-4.724508,0.121094
-4.788174,0.020428,-4.724068,0.111638
-4.787998,-0.001689,-4.723629,0.103603
-4.787822,-0.017332,-4.723189,0.10575
-4.787646,-0.023772,-4.722749,0.112499
-4.78747,-0.013276,-4.72231,0.119044
-4.787294,-0.002801,-4.72187,0.123664
-4.787118,0.007346,-4.72143,0.126994
-4.786942,0.017345,-4.720991,0.125459
-4.786767,0.027769,-4.720551,0.117367
-4.786591,0.031943,-4.720111,0.109993
-4.786415,0.029834,-4.719672,0.105154
-4.786239,0.023061,-4.719232,0.101561
-4.786063,0.015992,-4.718792,0.099103
-4.785888,0.009287,-4.718353,0.101059
-4.785712,0.002514,-4.717913,0.104428
-4.785536,-0.001915,-4.717474,0.110633
-4.78536,0.000727,-4.717034,0.119438
-4.785184,0.013157,-4.716594,0.12774
-4.785008,0.026679,-4.716155,0.133533
-4.784832,0.040391,-4.715715,0.136536
-4.784657,0.053817,-4.715275,0.135512
-4.784481,0.067225,-4.714836,0.126847
-4.784305,0.070723,-4.714396,0.119004
-4.784129,0.06445,-4.713956,0.112639
-4.783953,0.048909,-4.713516,0.109252
-4.783777,0.032092,-4.713077,0.112171
-4.783601,0.016147,-4.712637,0.125152
-4.783425,0.000507,-4.712197,0.135449
-4.78325,-0.015417,-4.711758,0.140903
-4.783074,-0.015573,-4.711318,0.140421
-4.782898,-0.008408,-4.710878,0.137193
-4.782722,0.002123,-4.710439,0.13216
-4.782546,0.01283,-4.709999,0.127412
-4.782371,0.023247,-4.709559,0.12556
-4.782195,0.033659,-4.70912,0.127383
-4.782019,0.036862,-4.70868,0.127204
-4.781843,0.027402,-4.708241,0.125103
-4.781667,0.008472,-4.707801,0.121469
-4.781491,-0.010826,-4.707361,0.122205
-4.781315,-0.030289,-4.706922,0.125285
-4.781139,-0.049705,-4.706482,0.129019
-4.780963,-0.06862,-4.706042,0.132071
-4.780787,-0.069922,-4.705603,0.134178
-4.780612,-0.06005,-4.705163,0.135276
-4.780436,-0.043745,-4.704723,0.135685
-4.78026,-0.027439,-4.704284,0.135607
-4.780084,-0.010781,-4.703844,0.13526
-4.779908,0.005995,-4.703404,0.134862
-4.779733,0.021571,-4.702964,0.134467
-4.779557,0.029967,-4.702525,0.136906
-4.779381,0.035372,-4.702085,0.140235
-4.779205,0.040042,-4.701645,0.142092
-4.779029,0.044731,-4.701206,0.138807
-4.778853,0.049538,-4.700766,0.132906
-4.778677,0.054239,-4.700326,0.129144
-4.778502,0.048759,-4.699887,0.127034
-4.778326,0.031502,-4.699447,0.125764
-4.77815,0.008952,-4.699008,0.126489
-4.777974,-0.013082,-4.698568,0.127697
-4.777798,-0.035353,-4.698128,0.130798
-4.777622,-0.057811,-4.697689,0.136939
-4.777446,-0.079793,-4.697249,0.144395
-4.77727,-0.073051,-4.696809,0.149545
-4.777095,-0.057785,-4.69637,0.153309
-4.776919,-0.038209,-4.69593,0.155738
-4.776743,-0.019043,-4.69549,0.150021
-4.776567,0.000146,-4.695051,0.142805
-4.776391,0.019353,-4.694611,0.140118
-4.776216,0.029569,-4.694171,0.144606
-4.77604,0.011449,-4.693731,0.151224
-4.775864,-0.012482,-4.693292,0.148698
-4.775688,-0.036559,-4.692852,0.142829
-4.775512,-0.060556,-4.692412,0.137558
-4.775336,-0.085086,-4.691973,0.141575
-4.77516,-0.110307,-4.691533,0.147011
-4.774984,-0.115641,-4.691093,0.145992
-4.774808,-0.109335,-4.690654,0.13819
-4.774633,-0.101053,-4.690214,0.128682
-4.774457,-0.092303,-4.689775,0.131961
-4.774281,-0.083994,-4.689335,0.138219
-4.774105,-0.075809,-4.688895,0.143368
-4.773929,-0.06754,-4.688456,0.141517
-4.773754,-0.070765,-4.688016,0.139021
-4.773578,-0.074279,-4.687576,0.143866
-4.773402,-0.077969,-4.687137,0.154175
-4.773226,-0.081721,-4.686697,0.16436
-4.77305,-0.085294,-4.686257,0.153863
-4.772874,-0.088865,-4.685818,0.142555
-4.772698,-0.091279,-4.685378,0.136518
-4.772522,-0.091768,-4.684938,0.142511
-4.772346,-0.092258,-4.684499,0.148129
-4.772171,-0.09274,-4.684059,0.151275
-4.771995,-0.09322,-4.683619,0.15331
-4.771819,-0.093363,-4.683179,0.155843
-4.771643,-0.088505,-4.68274,0.161612
-4.771467,-0.071379,-4.6823,0.166216
-4.771291,-0.049881,-4.68186,0.166681
-4.771116,-0.028658,-4.681421,0.161288
-4.77094,-0.007368,-4.680981,0.158549
-4.770764,0.013982,-4.680542,0.165787
-4.770588,0.030264,-4.680102,0.175274
-4.770412,0.035719,-4.679662,0.180617
-4.770236,0.013762,-4.679223,0.169278
-4.770061,-0.008267,-4.678783,0.160089
-4.769885,-0.030356,-4.678343,0.156243
-4.769709,-0.052507,-4.677904,0.158555
-4.769533,-0.074739,-4.677464,0.160699
-4.769357,-0.084648,-4.677024,0.162152
-4.769181,-0.076536,-4.676585,0.162965
-4.769005,-0.053169,-4.676145,0.162804
-4.768829,-0.029205,-4.675705,0.16033
-4.768653,-0.005657,-4.675266,0.159399
-4.768478,0.018191,-4.674826,0.16132
-4.768302,0.038377,-4.674387,0.165102
-4.768126,0.044502,-4.673946,0.166629
-4.76795,0.027209,-4.673507,0.162718
-4.767774,0.007285,-4.673067,0.158177
-4.767599,-0.012819,-4.672627,0.153898
-4.767423,-0.033403,-4.672188,0.150152
-4.767247,-0.053632,-4.671748,0.151118
-4.767071,-0.070338,-4.671309,0.158109
-4.766895,-0.081842,-4.670869,0.167542
-4.766719,-0.085967,-4.670429,0.173372
-4.766543,-0.090117,-4.66999,0.171324
-4.766367,-0.094285,-4.66955,0.170312
-4.766191,-0.098471,-4.66911,0.171269
-4.766016,-0.102676,-4.668671,0.174643
-4.76584,-0.101775,-4.668231,0.179461
-4.765664,-0.096927,-4.667791,0.18521
-4.765488,-0.089816,-4.667352,0.189362
-4.765312,-0.082668,-4.666912,0.18927
-4.765136,-0.075468,-4.666472,0.182449
-4.764961,-0.068341,-4.666033,0.182612
-4.764785,-0.058632,-4.665593,0.189859
-4.764609,-0.043855,-4.665154,0.203138
-4.764433,-0.025097,-4.664714,0.205919
-4.764257,-0.006489,-4.664274,0.200742
-4.764081,0.012094,-4.663835,0.194137
-4.763906,0.030769,-4.663394,0.189827
-4.76373,0.049212,-4.662955,0.188477
-4.763554,0.059442,-4.662515,0.191939
-4.763378,0.063286,-4.662076,0.198818
-4.763202,0.062384,-4.661636,0.207043
-4.763026,0.061473,-4.661196,0.207788
-4.76285,0.06057,-4.660757,0.204164
-4.762674,0.059666,-4.660317,0.201792
-4.762498,0.057901,-4.659877,0.202166
-4.762323,0.045381,-4.659438,0.204591
-4.762147,0.027848,-4.658998,0.207824
-4.761971,0.008783,-4.658558,0.211287
-4.761795,-0.009999,-4.658119,0.215204
-4.761619,-0.028985,-4.657679,0.22055
-4.761444,-0.047576,-4.657239,0.226444
-4.761268,-0.054272,-4.6568,0.226796
-4.761092,-0.044881,-4.65636,0.222085
-4.760916,-0.026929,-4.655921,0.21485
-4.76074,-0.008771,-4.655481,0.213732
-4.760564,0.009404,-4.655041,0.214376
-4.760388,0.027534,-4.654602,0.213667
-4.760212,0.04562,-4.654162,0.207381
-4.760036,0.039003,-4.653722,0.199151
-4.759861,0.023103,-4.653282,0.200761
-4.759685,0.003599,-4.652843,0.209614
-4.759509,-0.015909,-4.652403,0.221955
-4.759333,-0.03572,-4.651963,0.221789
-4.759157,-0.055612,-4.651524,0.218788
-4.758981,-0.067345,-4.651084,0.213566
-4.758806,-0.049688,-4.650644,0.206603
-4.75863,-0.024756,-4.650205,0.199061
-4.758454,0.000987,-4.649765,0.196433
-4.758278,0.026504,-4.649325,0.202532
-4.758102,0.05196,-4.648886,0.212939
-4.757926,0.077073,-4.648446,0.221049
-4.757751,0.081046,-4.648006,0.226494
-4.757575,0.065443,-4.647567,0.230689
-4.757399,0.046035,-4.647127,0.227038
-4.757223,0.026747,-4.646688,0.221718
-4.757047,0.007219,-4.646248,0.217935
-4.756871,-0.013071,-4.645808,0.22028
-4.756695,-0.033467,-4.645369,0.223747
-4.756519,-0.045186,-4.644929,0.226231
-4.756343,-0.049719,-4.644489,0.228001
-4.756168,-0.053484,-4.64405,0.229595
-4.755992,-0.057188,-4.64361,0.235623
-4.755816,-0.06092,-4.64317,0.241954
-4.75564,-0.064597,-4.64273,0.244152
-4.755464,-0.068066,-4.642291,0.238146
-4.755289,-0.070019,-4.641851,0.231748
-4.755113,-0.071983,-4.641411,0.22701
-4.754937,-0.074028,-4.640972,0.223
-4.754761,-0.076063,-4.640532,0.219258
-4.754585,-0.078095,-4.640092,0.220448
-4.754409,-0.080137,-4.639653,0.221682
-4.754233,-0.073914,-4.639213,0.227529
-4.754057,-0.050485,-4.638773,0.239961
-4.753881,-0.026856,-4.638334,0.252022
-4.753706,-0.003225,-4.637894,0.248008
-4.75353,0.020409,-4.637455,0.239509
-4.753354,0.044041,-4.637015,0.233265
-4.753178,0.067347,-4.636575,0.238916
-4.753002,0.0726,-4.636136,0.244036
-4.752827,0.069784,-4.635696,0.246331
-4.752651,0.066943,-4.635256,0.245748
-4.752475,0.0641,-4.634817,0.245069
-4.752299,0.061291,-4.634377,0.244048
-4.752123,0.058878,-4.633937,0.242472
-4.751947,0.057432,-4.633497,0.239823
