UV 1_280_ml,UV 1_280_mAU,UV 2_485_ml,UV 2_485_mAU
-4.787278,0.479139,-4.721851,-0.109763
-4.787102,0.471019,-4.721412,-0.11164
-4.786926,0.461653,-4.720972,-0.114669
-4.78675,0.452276,-4.720532,-0.117121
-4.786574,0.442885,-4.720093,-0.112576
-4.786398,0.433492,-4.719653,-0.106633
-4.786222,0.424228,-4.719213,-0.105528
-4.786047,0.417147,-4.718773,-0.110307
-4.785871,0.412707,-4.718334,-0.117017
-4.785695,0.41086,-4.717894,-0.118044
-4.785519,0.409064,-4.717454,-0.117236
-4.785343,0.40723,-4.717015,-0.117497
-4.785167,0.405398,-4.716575,-0.124169
-4.784992,0.403056,-4.716136,-0.132132
-4.784816,0.398048,-4.715696,-0.137176
-4.78464,0.391482,-4.715256,-0.139486
-4.784464,0.384698,-4.714817,-0.141024
-4.784288,0.377978,-4.714377,-0.134527
-4.784112,0.371086,-4.713937,-0.127014
-4.783937,0.364383,-4.713497,-0.123313
-4.783761,0.357866,-4.713058,-0.130702
-4.783585,0.351612,-4.712618,-0.138608
-4.783409,0.345761,-4.712178,-0.138602
-4.783233,0.339847,-4.711739,-0.133713
-4.783057,0.333881,-4.711299,-0.128488
-4.782881,0.327897,-4.710859,-0.131038
-4.782705,0.32195,-4.71042,-0.133587
-4.782529,0.317154,-4.70998,-0.133578
-4.782353,0.313361,-4.70954,-0.128782
-4.782178,0.310157,-4.709101,-0.124762
-4.782002,0.30697,-4.708661,-0.13443
-4.781826,0.303807,-4.708221,-0.1495
-4.78165,0.300613,-4.707781,-0.162088
-4.781474,0.292316,-4.707342,-0.152082
-4.781299,0.274064,-4.706902,-0.142321
-4.781123,0.253719,-4.706462,-0.135213
-4.780947,0.233139,-4.706023,-0.13193
-4.780771,0.212503,-4.705583,-0.131076
-4.780595,0.191961,-4.705143,-0.140854
-4.780419,0.171545,-4.704704,-0.151329
-4.780243,0.171118,-4.704264,-0.156582
-4.780067,0.180299,-4.703825,-0.145057
-4.779891,0.192508,-4.703385,-0.135718
-4.779716,0.204922,-4.702945,-0.132104
-4.77954,0.217281,-4.702506,-0.134152
-4.779364,0.229726,-4.702065,-0.137539
-4.779188,0.240867,-4.701626,-0.144565
-4.779012,0.242792,-4.701186,-0.149537
-4.778836,0.242727,-4.700747,-0.149323
-4.77866,0.242145,-4.700307,-0.138416
-4.778485,0.241562,-4.699867,-0.135049
-4.778309,0.240968,-4.699428,-0.145426
-4.778133,0.24039,-4.698988,-0.163141
-4.777957,0.240678,-4.698548,-0.174827
-4.777781,0.241763,-4.698109,-0.166822
-4.777605,0.242868,-4.697669,-0.158409
-4.77743,0.243993,-4.697229,-0.151495
-4.777254,0.245134,-4.69679,-0.146966
-4.777078,0.246278,-4.69635,-0.146711
-4.776902,0.247397,-4.69591,-0.152522
-4.776726,0.256942,-4.69547,-0.161487
-4.77655,0.267372,-4.695031,-0.170427
-4.776374,0.277888,-4.694591,-0.178273
-4.776198,0.288375,-4.694151,-0.181146
-4.776022,0.298825,-4.693712,-0.177531
-4.775846,0.309249,-4.693272,-0.166953
-4.775671,0.316507,-4.692832,-0.162953
