UV 1_280_ml,UV 1_280_mAU,UV 2_485_ml,UV 2_485_mAU
-0.574488,1.179261,-0.534952,-0.030515
-0.574346,1.175616,-0.534598,-0.03274
-0.574205,1.172442,-0.534243,-0.037008
-0.574063,1.169363,-0.533889,-0.039103
-0.573921,1.166304,-0.533535,-0.039704
-0.57378,1.163111,-0.53318,-0.033427
-0.573638,1.159952,-0.532826,-0.027811
-0.573496,1.156836,-0.532472,-0.024488
-0.573354,1.13431,-0.532118,-0.025005
-0.573213,1.10593,-0.531763,-0.027515
-0.573071,1.077671,-0.531409,-0.028357
-0.572929,1.049795,-0.531055,-0.028066
-0.572788,1.022319,-0.530701,-0.025799
-0.572646,0.994054,-0.530347,-0.025001
-0.572504,0.965458,-0.529992,-0.025084
-0.572363,0.936234,-0.529638,-0.028591
-0.572221,0.916903,-0.529284,-0.028029
-0.572079,0.905981,-0.528929,-0.022195
-0.571938,0.894864,-0.528575,-0.004103
-0.571796,0.877331,-0.528221,0.014569
-0.571654,0.854641,-0.527867,0.01774
-0.571512,0.841837,-0.527512,0.008344
-0.571371,0.831025,-0.527158,-0.013449
-0.571229,0.822719,-0.526804,-0.031646
-0.571087,0.814551,-0.52645,-0.048493
-0.570946,0.806534,-0.526095,-0.058933
-0.570804,0.798403,-0.525741,-0.066143
-0.570662,0.790265,-0.525387,-0.068015
-0.570521,0.78224,-0.525033,-0.063864
-0.570379,0.772772,-0.524678,-0.057986
-0.570237,0.761855,-0.524324,-0.057314
-0.570096,0.747475,-0.52397,-0.058816
-0.569954,0.732682,-0.523616,-0.062999
-0.569812,0.717843,-0.523261,-0.064372
-0.56967,0.703127,-0.522907,-0.064583
-0.569529,0.688496,-0.522553,-0.062356
-0.569387,0.673526,-0.522199,-0.061231
-0.569245,0.660628,-0.521844,-0.061144
-0.569104,0.653075,-0.52149,-0.062385
-0.568962,0.659271,-0.521136,-0.062788
-0.56882,0.67359,-0.520782,-0.059664
-0.568679,0.68774,-0.520427,-0.055012
-0.568537,0.702025,-0.520073,-0.049243
-0.568395,0.716593,-0.519719,-0.050032
-0.568254,0.731049,-0.519365,-0.052266
-0.568112,0.744772,-0.51901,-0.056962
-0.56797,0.750625,-0.518656,-0.055716
-0.567829,0.748756,-0.518302,-0.051109
-0.567687,0.73514,-0.517948,-0.043027
-0.567545,0.721402,-0.517593,-0.039436
-0.567403,0.707692,-0.517239,-0.043539
-0.567262,0.69434,-0.516885,-0.050296
-0.56712,0.68091,-0.516531,-0.058044
-0.566978,0.667397,-0.516176,-0.065542
-0.566837,0.648288,-0.515822,-0.072773
-0.566695,0.627349,-0.515468,-0.079671
-0.566553,0.603614,-0.515114,-0.082194
-0.566412,0.579167,-0.514759,-0.083532
-0.56627,0.554033,-0.514405,-0.084113
-0.566128,0.529081,-0.514051,-0.07902
-0.565987,0.504205,-0.513697,-0.068665
-0.565845,0.479474,-0.513342,-0.057431
-0.565703,0.457714,-0.512988,-0.050083
-0.565561,0.437802,-0.512634,-0.055023
-0.56542,0.426137,-0.51228,-0.060813
-0.565278,0.414249,-0.511925,-0.067155
-0.565136,0.401843,-0.511571,-0.0702
-0.564995,0.389889,-0.511217,-0.073009
-0.564853,0.378127,-0.510863,-0.075582
-0.564711,0.365595,-0.510508,-0.078624
-0.56457,0.354761,-0.510154,-0.081891
-0.564428,0.346284,-0.5098,-0.085323
-0.564286,0.341399,-0.509446,-0.086127
-0.564145,0.3375,-0.509091,-0.083127
-0.564003,0.333452,-0.508737,-0.079686
-0.563861,0.329506,-0.508383,-0.076531
-0.563719,0.325671,-0.508029,-0.076343
-0.563578,0.321634,-0.507674,-0.07626
-0.563436,0.31967,-0.50732,-0.076287
-0.563294,0.328105,-0.506966,-0.074692
-0.563153,0.340146,-0.506612,-0.072779
-0.563011,0.355482,-0.506257,-0.070768
-0.562869,0.371076,-0.505903,-0.075904
-0.562728,0.38669,-0.505549,-0.086425
-0.562586,0.402242,-0.505195,-0.097391
-0.562444,0.417745,-0.50484,-0.104291
-0.562303,0.433217,-0.504486,-0.10106
-0.562161,0.420324,-0.504132,-0.097327
-0.562019,0.401518,-0.503778,-0.093378
-0.561877,0.369717,-0.503423,-0.095508
-0.561736,0.339628,-0.503069,-0.097804
-0.561594,0.310294,-0.502715,-0.10037
-0.561452,0.279617,-0.502361,-0.100826
-0.561311,0.24897,-0.502006,-0.100476
-0.561169,0.218411,-0.501652,-0.100009
-0.561027,0.211383,-0.501298,-0.100344
-0.560886,0.214755,-0.500944,-0.101606
-0.560744,0.231081,-0.500589,-0.102791
-0.560602,0.24738,-0.500235,-0.103563
-0.560461,0.263639,-0.499881,-0.102477
-0.560319,0.280169,-0.499527,-0.101107
-0.560177,0.296782,-0.499172,-0.099496
-0.560036,0.313341,-0.498818,-0.092648
-0.559894,0.321908,-0.498464,-0.085514
-0.559752,0.322298,-0.49811,-0.079126
-0.55961,0.319686,-0.497755,-0.080934
-0.559469,0.316427,-0.497401,-0.087763
-0.559327,0.31331,-0.497047,-0.093931
-0.559185,0.31011,-0.496693,-0.096806
-0.559044,0.306836,-0.496338,-0.09353
-0.558902,0.303649,-0.495984,-0.091355
-0.55876,0.297814,-0.49563,-0.089957
-0.558619,0.284069,-0.495276,-0.099945
-0.558477,0.270555,-0.494921,-0.109385
-0.558335,0.257178,-0.494567,-0.117911
-0.558194,0.24419,-0.494213,-0.12044
-0.558052,0.231214,-0.493859,-0.120499
-0.55791,0.218263,-0.493504,-0.119625
-0.557768,0.205118,-0.49315,-0.116464
-0.557627,0.192958,-0.492796,-0.110185
-0.557485,0.200174,-0.492442,-0.105028
-0.557343,0.20753,-0.492087,-0.101147
-0.557202,0.215128,-0.491733,-0.10284
-0.55706,0.222556,-0.491379,-0.104568
-0.556918,0.229928,-0.491025,-0.106329
-0.556777,0.237285,-0.49067,-0.108069
-0.556635,0.244557,-0.490316,-0.109939
-0.556493,0.251724,-0.489962,-0.112269
-0.556352,0.247793,-0.489608,-0.115263
-0.55621,0.241517,-0.489253,-0.11871
-0.556068,0.23453,-0.488899,-0.120696
-0.555926,0.227655,-0.488545,-0.121574
-0.555785,0.220871,-0.488191,-0.120142
-0.555643,0.213759,-0.487836,-0.118739
-0.555501,0.206718,-0.487482,-0.117359
-0.55536,0.19996,-0.487128,-0.116243
-0.555218,0.192833,-0.486774,-0.116185
-0.555076,0.185475,-0.486419,-0.117738
-0.554935,0.178403,-0.486065,-0.121921
-0.554793,0.171484,-0.485711,-0.126723
-0.554651,0.164823,-0.485357,-0.1295
-0.55451,0.157919,-0.485002,-0.130856
-0.554368,0.150911,-0.484648,-0.130684
-0.554226,0.14427,-0.484294,-0.132829
-0.554084,0.141476,-0.48394,-0.135928
-0.553943,0.145264,-0.483585,-0.141046
-0.553801,0.149049,-0.483231,-0.139795
-0.553659,0.152832,-0.482877,-0.133441
-0.553518,0.156611,-0.482523,-0.118401
-0.553376,0.160388,-0.482168,-0.106565
-0.553234,0.164163,-0.481814,-0.104813
-0.553093,0.168018,-0.48146,-0.109843
-0.552951,0.167739,-0.481106,-0.11878
-0.552809,0.145406,-0.480751,-0.126006
-0.552668,0.121838,-0.480397,-0.132558
-0.552526,0.097044,-0.480043,-0.137942
-0.552384,0.07167,-0.479689,-0.141626
-0.552243,0.046193,-0.479334,-0.144532
-0.552101,0.02073,-0.47898,-0.14616
-0.551959,-0.004288,-0.478626,-0.14499
-0.551817,-0.029029,-0.478272,-0.14036
-0.551676,-0.015165,-0.477917,-0.133654
-0.551534,0.001585,-0.477563,-0.127751
-0.551392,0.021672,-0.477209,-0.128922
-0.551251,0.041754,-0.476855,-0.13175
-0.551109,0.061826,-0.4765,-0.136044
-0.550967,0.081341,-0.476146,-0.135626
-0.550826,0.100547,-0.475792,-0.134122
-0.550684,0.119175,-0.475437,-0.131139
-0.550542,0.104482,-0.475083,-0.128405
-0.5504,0.077407,-0.474729,-0.125831
-0.550259,0.049421,-0.474375,-0.123391
-0.550117,0.021116,-0.47402,-0.122254
-0.549975,-0.007668,-0.473666,-0.124342
-0.549834,-0.035829,-0.473312,-0.127206
-0.549692,-0.063428,-0.472958,-0.130846
-0.54955,-0.088075,-0.472603,-0.132946
-0.549409,-0.092828,-0.472249,-0.134056
-0.549267,-0.073383,-0.471895,-0.134325
-0.549125,-0.053033,-0.471541,-0.1338
-0.548984,-0.032684,-0.471186,-0.128837
-0.548842,-0.013226,-0.470832,-0.123273
-0.5487,0.006236,-0.470478,-0.117058
-0.548559,0.025702,-0.470124,-0.118141
-0.548417,0.041299,-0.469769,-0.121073
-0.548275,0.048293,-0.469415,-0.125825
-0.548133,0.033712,-0.469061,-0.129941
-0.547992,0.019644,-0.468707,-0.133543
-0.54785,0.005842,-0.468352,-0.136578
-0.547708,-0.008722,-0.467998,-0.138183
-0.547567,-0.023059,-0.467644,-0.136147
-0.547425,-0.036884,-0.46729,-0.133595
-0.547283,-0.048077,-0.466935,-0.130768
-0.547142,-0.057321,-0.466581,-0.137082
-0.547,-0.050816,-0.466227,-0.143683
-0.546858,-0.044239,-0.465873,-0.150796
-0.546717,-0.037541,-0.465518,-0.151349
-0.546575,-0.030981,-0.465164,-0.149374
-0.546433,-0.02446,-0.46481,-0.146883
-0.546291,-0.017933,-0.464456,-0.147133
-0.54615,-0.012311,-0.464101,-0.150931
-0.546008,-0.007713,-0.463747,-0.154942
-0.545866,-0.006852,-0.463393,-0.157385
-0.545725,-0.006795,-0.463039,-0.151951
-0.545583,-0.006736,-0.462684,-0.146421
-0.545441,-0.006677,-0.46233,-0.140804
-0.5453,-0.006621,-0.461976,-0.14354
-0.545158,-0.006563,-0.461622,-0.147358
-0.545016,-0.006344,-0.461267,-0.151175
-0.544875,-0.005547,-0.460913,-0.154102
-0.544733,-0.004117,-0.460559,-0.156402
-0.544591,-0.002314,-0.460205,-0.158444
-0.544449,-0.000507,-0.45985,-0.15881
-0.544308,0.001315,-0.459496,-0.155689
-0.544166,0.003175,-0.459142,-0.152591
-0.544024,0.005005,-0.458788,-0.149571
-0.543883,0.006819,-0.458433,-0.147974
-0.543741,0.00636,-0.458079,-0.146469
-0.543599,0.004763,-0.457725,-0.145101
-0.543458,0.001291,-0.457371,-0.145222
-0.543316,-0.002255,-0.457016,-0.145889
-0.543174,-0.005813,-0.456662,-0.147043
-0.543033,-0.009209,-0.456308,-0.149614
-0.542891,-0.012687,-0.455954,-0.153729
-0.542749,-0.016281,-0.455599,-0.157877
-0.542607,-0.018259,-0.455245,-0.161935
-0.542466,-0.019599,-0.454891,-0.165639
-0.542324,-0.019098,-0.454537,-0.168038
-0.542182,-0.018617,-0.454182,-0.169455
-0.542041,-0.018153,-0.453828,-0.16316
-0.541899,-0.017656,-0.453474,-0.157203
-0.541757,-0.017155,-0.45312,-0.153271
-0.541616,-0.016663,-0.452765,-0.154739
-0.541474,-0.024947,-0.452411,-0.159155
-0.541332,-0.03912,-0.452057,-0.161621
-0.541191,-0.0593,-0.451703,-0.162473
-0.541049,-0.079909,-0.451348,-0.16043
-0.540907,-0.100567,-0.450994,-0.160214
-0.540766,-0.12127,-0.45064,-0.161027
-0.540624,-0.141999,-0.450286,-0.165667
-0.540482,-0.162801,-0.449931,-0.168808
-0.54034,-0.175555,-0.449577,-0.170115
-0.540199,-0.172885,-0.449223,-0.166966
-0.540057,-0.162728,-0.448869,-0.16331
-0.539915,-0.14882,-0.448514,-0.161971
-0.539774,-0.13486,-0.44816,-0.162883
-0.539632,-0.121027,-0.447806,-0.165681
-0.53949,-0.10737,-0.447452,-0.166437
-0.539349,-0.09367,-0.447097,-0.166212
-0.539207,-0.082196,-0.446743,-0.163736
-0.539065,-0.088829,-0.446389,-0.162286
-0.538924,-0.099712,-0.446035,-0.161486
-0.538782,-0.115453,-0.44568,-0.1627
-0.53864,-0.130246,-0.445326,-0.16414
-0.538498,-0.145034,-0.444972,-0.165928
-0.538357,-0.160514,-0.444618,-0.16801
-0.538215,-0.176033,-0.444263,-0.170162
-0.538073,-0.191586,-0.443909,-0.171183
-0.537932,-0.188344,-0.443555,-0.171692
-0.53779,-0.18172,-0.443201,-0.171501
-0.537648,-0.170252,-0.442846,-0.165284
-0.537507,-0.158926,-0.442492,-0.156293
-0.537365,-0.147679,-0.442138,-0.140396
-0.537223,-0.136098,-0.441784,-0.131895
-0.537082,-0.124678,-0.441429,-0.130653
-0.53694,-0.113578,-0.441075,-0.141791
-0.536798,-0.107022,-0.440721,-0.154483
-0.536656,-0.102985,-0.440367,-0.165479
-0.536515,-0.101536,-0.440012,-0.174993
-0.536373,-0.100098,-0.439658,-0.183371
-0.536231,-0.098675,-0.439304,-0.185669
-0.53609,-0.097246,-0.43895,-0.185757
-0.535948,-0.095809,-0.438595,-0.181813
-0.535806,-0.094332,-0.438241,-0.178239
-0.535665,-0.092405,-0.437887,-0.174887
-0.535523,-0.090033,-0.437533,-0.172171
-0.535381,-0.087773,-0.437178,-0.170439
-0.53524,-0.085518,-0.436824,-0.170384
-0.535098,-0.083158,-0.43647,-0.172031
-0.534956,-0.080817,-0.436116,-0.174058
-0.534814,-0.078495,-0.435761,-0.174133
-0.534673,-0.076127,-0.435407,-0.173394
-0.534531,-0.074075,-0.435053,-0.171686
-0.534389,-0.073085,-0.434699,-0.173728
-0.534248,-0.072157,-0.434344,-0.177198
-0.534106,-0.071275,-0.43399,-0.183188
-0.533964,-0.070386,-0.433636,-0.185955
-0.533823,-0.069507,-0.433282,-0.185969
-0.533681,-0.068649,-0.432927,-0.182605
-0.533539,-0.068434,-0.432573,-0.179473
-0.533398,-0.06865,-0.432219,-0.178139
-0.533256,-0.07335,-0.431865,-0.177665
-0.533114,-0.077986,-0.43151,-0.177693
-0.532973,-0.082528,-0.431156,-0.177498
-0.532831,-0.087103,-0.430802,-0.177259
-0.532689,-0.091692,-0.430448,-0.176939
-0.532547,-0.096324,-0.430093,-0.167358
-0.532406,-0.101662,-0.429739,-0.153516
-0.532264,-0.107917,-0.429385,-0.134356
-0.532122,-0.122877,-0.429031,-0.128412
-0.531981,-0.140348,-0.428676,-0.139303
-0.531839,-0.157985,-0.428322,-0.159257
-0.531697,-0.175357,-0.427968,-0.178546
-0.531556,-0.19248,-0.427614,-0.178804
-0.531414,-0.210076,-0.427259,-0.175264
-0.531272,-0.226771,-0.426905,-0.168183
-0.53113,-0.240128,-0.426551,-0.161011
-0.530989,-0.238739,-0.426197,-0.153988
-0.530847,-0.225983,-0.425842,-0.147478
-0.530705,-0.213299,-0.425488,-0.151695
-0.530564,-0.200639,-0.425134,-0.163155
-0.530422,-0.188028,-0.42478,-0.17741
-0.53028,-0.175307,-0.424425,-0.187402
-0.530139,-0.162515,-0.424071,-0.187755
-0.529997,-0.150482,-0.423717,-0.186647
-0.529855,-0.141999,-0.423363,-0.184879
-0.529714,-0.139874,-0.423008,-0.184556
-0.529572,-0.137751,-0.422654,-0.184285
-0.52943,-0.135628,-0.4223,-0.184093
