UV 1_280_ml,UV 1_280_mAU,UV 2_485_ml,UV 2_485_mAU
-0.569119,0.785695,-0.521502,-0.053949
-0.568978,0.796693,-0.521147,-0.064744
-0.568836,0.807067,-0.520793,-0.072911
-0.568694,0.81644,-0.520439,-0.077639
-0.568553,0.789717,-0.520084,-0.077055
-0.568411,0.751773,-0.51973,-0.075595
-0.568269,0.712748,-0.519376,-0.076664
-0.568127,0.674293,-0.519022,-0.079142
-0.567986,0.636473,-0.518667,-0.082921
-0.567844,0.59765,-0.518313,-0.084343
-0.567702,0.559473,-0.517959,-0.084964
-0.567561,0.525307,-0.517604,-0.083902
-0.567419,0.513377,-0.51725,-0.084872
-0.567277,0.522563,-0.516896,-0.08721
-0.567136,0.531852,-0.516542,-0.091893
-0.566994,0.541138,-0.516187,-0.094596
-0.566852,0.550363,-0.515833,-0.092636
-0.56671,0.559542,-0.515479,-0.087837
-0.566569,0.568689,-0.515125,-0.081752
-0.566427,0.57408,-0.51477,-0.08088
-0.566285,0.57422,-0.514416,-0.081129
-0.566144,0.562878,-0.514062,-0.083089
-0.566002,0.551595,-0.513707,-0.088217
-0.56586,0.540342,-0.513353,-0.094516
-0.565719,0.528913,-0.512999,-0.101827
-0.565577,0.517514,-0.512645,-0.105888
-0.565435,0.506168,-0.51229,-0.106335
-0.565294,0.491218,-0.511936,-0.104911
-0.565152,0.47355,-0.511582,-0.103571
-0.56501,0.436228,-0.511227,-0.104331
-0.564868,0.399011,-0.510873,-0.105571
-0.564727,0.361935,-0.510519,-0.107193
-0.564585,0.325048,-0.510165,-0.109953
-0.564443,0.288244,-0.50981,-0.112862
-0.564302,0.251638,-0.509456,-0.115921
-0.56416,0.219957,-0.509102,-0.118927
-0.564018,0.193611,-0.508748,-0.121903
-0.563877,0.201314,-0.508393,-0.124702
-0.563735,0.215096,-0.508039,-0.125006
-0.563593,0.228815,-0.507685,-0.12071
-0.563451,0.242681,-0.50733,-0.116067
-0.56331,0.256665,-0.506976,-0.111327
-0.563168,0.27026,-0.506622,-0.107023
-0.563026,0.282186,-0.506268,-0.102768
-0.562885,0.289594,-0.505913,-0.098578
-0.562743,0.283045,-0.505559,-0.094192
-0.562601,0.268281,-0.505205,-0.089728
-0.56246,0.253589,-0.504851,-0.085122
-0.562318,0.238798,-0.504496,-0.08159
-0.562176,0.223803,-0.504142,-0.079053
-0.562035,0.209123,-0.503788,-0.076796
-0.561893,0.194666,-0.503433,-0.077499
-0.561751,0.18244,-0.503079,-0.088719
-0.561609,0.174616,-0.502725,-0.100022
-0.561468,0.173259,-0.502371,-0.111381
-0.561326,0.171906,-0.502016,-0.104397
-0.561184,0.170556,-0.501662,-0.096429
-0.561043,0.16921,-0.501308,-0.088388
-0.560901,0.16785,-0.500954,-0.091787
-0.560759,0.166475,-0.500599,-0.100285
-0.560618,0.163261,-0.500245,-0.108716
-0.560476,0.15903,-0.499891,-0.112924
-0.560334,0.151511,-0.499536,-0.110569
-0.560192,0.144007,-0.499182,-0.108201
-0.560051,0.136516,-0.498828,-0.105987
-0.559909,0.129049,-0.498474,-0.104817
-0.559767,0.121591,-0.498119,-0.1037
-0.559626,0.114153,-0.497765,-0.102638
-0.559484,0.105494,-0.497411,-0.102546
-0.559342,0.096016,-0.497056,-0.102767
-0.559201,0.086482,-0.496702,-0.103464
-0.559059,0.077034,-0.496348,-0.105524
-0.558917,0.067775,-0.495994,-0.108621
-0.558776,0.058372,-0.495639,-0.110234
-0.558634,0.048893,-0.495285,-0.110128
-0.558492,0.039441,-0.494931,-0.106244
-0.55835,0.031609,-0.494577,-0.103829
-0.558209,0.026236,-0.494222,-0.10219
-0.558067,0.024113,-0.493868,-0.106007
-0.557925,0.023017,-0.493514,-0.109132
-0.557784,0.021923,-0.493159,-0.111026
-0.557642,0.020831,-0.492805,-0.110082
-0.5575,0.01974,-0.492451,-0.108188
-0.557359,0.018652,-0.492097,-0.107135
-0.557217,0.016211,-0.491742,-0.106794
-0.557075,0.007069,-0.491388,-0.10731
-0.556933,-0.004417,-0.491034,-0.107305
-0.556792,-0.018155,-0.49068,-0.107041
-0.55665,-0.031536,-0.490325,-0.10611
-0.556508,-0.044952,-0.489971,-0.107763
-0.556367,-0.058632,-0.489617,-0.111818
-0.556225,-0.072074,-0.489262,-0.121087
-0.556083,-0.085358,-0.488908,-0.128963
-0.555942,-0.089007,-0.488554,-0.130614
-0.5558,-0.090327,-0.4882,-0.126826
-0.555658,-0.087889,-0.487845,-0.119693
-0.555517,-0.085498,-0.487491,-0.118722
-0.555375,-0.08313,-0.487137,-0.119712
-0.555233,-0.080701,-0.486782,-0.124282
-0.555091,-0.078273,-0.486428,-0.125121
-0.55495,-0.075847,-0.486074,-0.124127
-0.554808,-0.080461,-0.48572,-0.119417
-0.554666,-0.088166,-0.485365,-0.116983
-0.554525,-0.098334,-0.485011,-0.117606
-0.554383,-0.108497,-0.484657,-0.120959
-0.554241,-0.118652,-0.484303,-0.125196
-0.5541,-0.128797,-0.483948,-0.129861
-0.553958,-0.138972,-0.483594,-0.134571
-0.553816,-0.149392,-0.48324,-0.139325
-0.553674,-0.165182,-0.482885,-0.141707
-0.553533,-0.186089,-0.482531,-0.14328
-0.553391,-0.210639,-0.482177,-0.14348
-0.553249,-0.235786,-0.481823,-0.144364
-0.553108,-0.260915,-0.481468,-0.145732
-0.552966,-0.286425,-0.481114,-0.147939
-0.552824,-0.31225,-0.48076,-0.149694
-0.552683,-0.337388,-0.480406,-0.15035
-0.552541,-0.357163,-0.480051,-0.150279
-0.552399,-0.36283,-0.479697,-0.149843
-0.552258,-0.364605,-0.479343,-0.149843
-0.552116,-0.363919,-0.478988,-0.149953
-0.551974,-0.363252,-0.478634,-0.150236
-0.551832,-0.362585,-0.47828,-0.148372
-0.551691,-0.361919,-0.477926,-0.145641
-0.551549,-0.361305,-0.477571,-0.141594
-0.551407,-0.360845,-0.477217,-0.138986
-0.551266,-0.362673,-0.476863,-0.137947
-0.551124,-0.364547,-0.476509,-0.138141
-0.550982,-0.366495,-0.476154,-0.139086
-0.550841,-0.368401,-0.4758,-0.14201
-0.550699,-0.370289,-0.475446,-0.145407
-0.550557,-0.372132,-0.475091,-0.149174
-0.550415,-0.373663,-0.474737,-0.150411
-0.550274,-0.374714,-0.474383,-0.151198
-0.550132,-0.363808,-0.474029,-0.151272
-0.54999,-0.348472,-0.473674,-0.152071
-0.549849,-0.333515,-0.47332,-0.153808
-0.549707,-0.318555,-0.472966,-0.155892
-0.549565,-0.303594,-0.472611,-0.158253
-0.549424,-0.288296,-0.472257,-0.155263
-0.549282,-0.273697,-0.471903,-0.150377
-0.54914,-0.263221,-0.471549,-0.143146
-0.548999,-0.270771,-0.471194,-0.141382
-0.548857,-0.296476,-0.47084,-0.146759
-0.548715,-0.320404,-0.470486,-0.155262
-0.548573,-0.344265,-0.470132,-0.163643
-0.548432,-0.369287,-0.469777,-0.166631
-0.54829,-0.394653,-0.469423,-0.168555
-0.548148,-0.420408,-0.469069,-0.16947
-0.548007,-0.439281,-0.468714,-0.162733
-0.547865,-0.450682,-0.46836,-0.1545
-0.547723,-0.436258,-0.468006,-0.145185
-0.547582,-0.421827,-0.467652,-0.14639
-0.54744,-0.407389,-0.467297,-0.154887
-0.547298,-0.392573,-0.466943,-0.165652
-0.547156,-0.378029,-0.466589,-0.172756
-0.547015,-0.364322,-0.466235,-0.171514
-0.546873,-0.352255,-0.46588,-0.169406
-0.546731,-0.341621,-0.465526,-0.16714
-0.54659,-0.340899,-0.465172,-0.172007
-0.546448,-0.341478,-0.464817,-0.177117
-0.546306,-0.342058,-0.464463,-0.182591
-0.546165,-0.342638,-0.464109,-0.184158
-0.546023,-0.343218,-0.463755,-0.184381
-0.545881,-0.3438,-0.4634,-0.184208
-0.54574,-0.347186,-0.463046,-0.181012
-0.545598,-0.356879,-0.462692,-0.174555
-0.545456,-0.374931,-0.462337,-0.16799
-0.545314,-0.3971,-0.461983,-0.163972
-0.545173,-0.419873,-0.461629,-0.170277
-0.545031,-0.442863,-0.461275,-0.176697
-0.544889,-0.466349,-0.46092,-0.183205
-0.544748,-0.489459,-0.460566,-0.172863
-0.544606,-0.512355,-0.460212,-0.160979
-0.544464,-0.516202,-0.459858,-0.149038
-0.544323,-0.51161,-0.459503,-0.147611
-0.544181,-0.492182,-0.459149,-0.151911
-0.544039,-0.472358,-0.458795,-0.156208
-0.543897,-0.452444,-0.45844,-0.157958
-0.543756,-0.433928,-0.458086,-0.155201
-0.543614,-0.41508,-0.457732,-0.152461
-0.543472,-0.395516,-0.457378,-0.150304
-0.543331,-0.391246,-0.457023,-0.154634
-0.543189,-0.394923,-0.456669,-0.159058
-0.543047,-0.413797,-0.456315,-0.163598
-0.542906,-0.432689,-0.455961,-0.168595
-0.542764,-0.451613,-0.455606,-0.173643
-0.542622,-0.470575,-0.455252,-0.17838
-0.54248,-0.489556,-0.454898,-0.180591
-0.542339,-0.508586,-0.454543,-0.180508
-0.542197,-0.517225,-0.454189,-0.180255
-0.542055,-0.514033,-0.453835,-0.179736
-0.541914,-0.504085,-0.453481,-0.178456
-0.541772,-0.491407,-0.453126,-0.177453
-0.54163,-0.478997,-0.452772,-0.176622
-0.541489,-0.46657,-0.452418,-0.17786
-0.541347,-0.454118,-0.452064,-0.179273
-0.541205,-0.441634,-0.451709,-0.180905
-0.541064,-0.430346,-0.451355,-0.183552
-0.540922,-0.427163,-0.451001,-0.186561
-0.54078,-0.425162,-0.450646,-0.187976
-0.540638,-0.424404,-0.450292,-0.186235
-0.540497,-0.423613,-0.449938,-0.180072
-0.540355,-0.422815,-0.449584,-0.175274
